"","x"
"1",1
"2",0
"3",1
"4",0
"5",1
"6",0
"7",1
"8",1
"9",0
"10",0
"11",1
"12",0
"13",1
"14",1
"15",1
"16",0
"17",0
"18",1
"19",1
"20",0
"21",0
"22",0
"23",1
"24",0
"25",0
"26",0
"27",1
"28",0
"29",1
"30",0
"31",0
"32",1
"33",1
"34",1
"35",0
"36",0
"37",1
"38",1
"39",1
"40",1
"41",1
"42",1
"43",1
"44",0
"45",0
"46",1
"47",0
"48",1
"49",1
"50",1
"51",0
"52",1
"53",0
"54",0
"55",0
"56",1
"57",0
"58",1
"59",1
"60",0
"61",0
"62",1
"63",1
"64",1
"65",0
"66",0
"67",1
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",1
"75",0
"76",1
"77",1
"78",0
"79",0
"80",1
"81",0
"82",1
"83",0
"84",1
"85",1
"86",0
"87",1
"88",1
"89",1
"90",1
"91",0
"92",1
"93",1
"94",1
"95",1
"96",0
"97",0
"98",1
"99",1
"100",1
